ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
"115348","Vasilka Rafailova Stoeva (Malusheva-)","F",32,174,105,"Bulgaria","BUL","1972 Summer",1972,"Summer","Munich","Athletics","Athletics Women's Discus Throw","Bronze"
"115469","Crew Hadlett Stoneley","M",21,163,51,"Great Britain","GBR","1932 Summer",1932,"Summer","Los Angeles","Athletics","Athletics Men's 4 x 400 metres Relay","Silver"
"115470","Dwight Edwin Stones","M",18,197,81,"United States","USA","1972 Summer",1972,"Summer","Munich","Athletics","Athletics Men's High Jump","Bronze"
"115470","Dwight Edwin Stones","M",22,197,81,"United States","USA","1976 Summer",1976,"Summer","Montreal","Athletics","Athletics Men's High Jump","Bronze"
"115481","Viktoriya Ivanivna ""Vita"" Stopina","F",28,176,54,"Ukraine","UKR","2004 Summer",2004,"Summer","Athina","Athletics","Athletics Women's High Jump","Bronze"
"115485","Hestrie Storbeck-Cloete (-Els)","F",22,185,68,"South Africa","RSA","2000 Summer",2000,"Summer","Sydney","Athletics","Athletics Women's High Jump","Silver"
"115485","Hestrie Storbeck-Cloete (-Els)","F",25,185,68,"South Africa","RSA","2004 Summer",2004,"Summer","Athina","Athletics","Athletics Women's High Jump","Silver"
"115486","Karl Konrad Storch","M",38,184,110,"Germany","GER","1952 Summer",1952,"Summer","Helsinki","Athletics","Athletics Men's Hammer Throw","Silver"
"115509","David Storl","M",21,198,117,"Germany","GER","2012 Summer",2012,"Summer","London","Athletics","Athletics Men's Shot Put","Silver"
"115529","Werner ""Harry"" Storz","M",24,175,68,"Germany","GER","1928 Summer",1928,"Summer","Amsterdam","Athletics","Athletics Men's 4 x 400 metres Relay","Silver"
"115545","Jennifer Elaine ""Jenny"" Stoute (-Regis)","F",27,175,65,"Great Britain","GBR","1992 Summer",1992,"Summer","Barcelona","Athletics","Athletics Women's 4 x 400 metres Relay","Bronze"
"115768","Shirley Barbara Strickland de la Hunty","F",23,172,57,"Australia","AUS","1948 Summer",1948,"Summer","London","Athletics","Athletics Women's 100 metres","Bronze"
"115768","Shirley Barbara Strickland de la Hunty","F",23,172,57,"Australia","AUS","1948 Summer",1948,"Summer","London","Athletics","Athletics Women's 80 metres Hurdles","Bronze"
"115768","Shirley Barbara Strickland de la Hunty","F",23,172,57,"Australia","AUS","1948 Summer",1948,"Summer","London","Athletics","Athletics Women's 4 x 100 metres Relay","Silver"
"115768","Shirley Barbara Strickland de la Hunty","F",26,172,57,"Australia","AUS","1952 Summer",1952,"Summer","Helsinki","Athletics","Athletics Women's 100 metres","Bronze"
"115768","Shirley Barbara Strickland de la Hunty","F",26,172,57,"Australia","AUS","1952 Summer",1952,"Summer","Helsinki","Athletics","Athletics Women's 80 metres Hurdles","Gold"
"115768","Shirley Barbara Strickland de la Hunty","F",31,172,57,"Australia","AUS","1956 Summer",1956,"Summer","Melbourne","Athletics","Athletics Women's 80 metres Hurdles","Gold"
"115768","Shirley Barbara Strickland de la Hunty","F",31,172,57,"Australia","AUS","1956 Summer",1956,"Summer","Melbourne","Athletics","Athletics Women's 4 x 100 metres Relay","Gold"
"115777","Hilda Gwendolyn Strike (-Sisson)","F",21,159,48,"Canada","CAN","1932 Summer",1932,"Summer","Los Angeles","Athletics","Athletics Women's 100 metres","Silver"
"115777","Hilda Gwendolyn Strike (-Sisson)","F",21,159,48,"Canada","CAN","1932 Summer",1932,"Summer","Los Angeles","Athletics","Athletics Women's 4 x 100 metres Relay","Silver"
"115799","Gaston M. Strobino","M",20,160,50,"United States","USA","1912 Summer",1912,"Summer","Stockholm","Athletics","Athletics Men's Marathon","Bronze"
"115848","Shirley Elaine Strong","F",25,173,63,"Great Britain","GBR","1984 Summer",1984,"Summer","Los Angeles","Athletics","Athletics Women's 100 metres Hurdles","Silver"
"115853","Ellen Strophal-Streidt (-Wendland-)","F",23,168,55,"East Germany","GDR","1976 Summer",1976,"Summer","Montreal","Athletics","Athletics Women's 400 metres","Bronze"
"115853","Ellen Strophal-Streidt (-Wendland-)","F",23,168,55,"East Germany","GDR","1976 Summer",1976,"Summer","Montreal","Athletics","Athletics Women's 4 x 400 metres Relay","Gold"
"115886","Brbel Struppert (Schrickel-)","F",21,158,50,"East Germany","GDR","1972 Summer",1972,"Summer","Munich","Athletics","Athletics Women's 4 x 100 metres Relay","Silver"
"115949","Jennifer ""Jenn"" Stuczynski-Suhr","F",26,183,66,"United States","USA","2008 Summer",2008,"Summer","Beijing","Athletics","Athletics Women's Pole Vault","Silver"
"115949","Jennifer ""Jenn"" Stuczynski-Suhr","F",30,183,66,"United States","USA","2012 Summer",2012,"Summer","London","Athletics","Athletics Women's Pole Vault","Gold"
"115992","Michael Duane ""Mike"" Stulce","M",23,191,123,"United States","USA","1992 Summer",1992,"Summer","Barcelona","Athletics","Athletics Men's Shot Put","Gold"
"116026","Chandra Lavon Sturrup","F",24,163,61,"Bahamas","BAH","1996 Summer",1996,"Summer","Atlanta","Athletics","Athletics Women's 4 x 100 metres Relay","Silver"
"116026","Chandra Lavon Sturrup","F",29,163,61,"Bahamas","BAH","2000 Summer",2000,"Summer","Sydney","Athletics","Athletics Women's 4 x 100 metres Relay","Gold"
"116034","Khrystyna Petrivna Stuy","F",24,168,60,"Ukraine","UKR","2012 Summer",2012,"Summer","London","Athletics","Athletics Women's 4 x 100 metres Relay","Bronze"
"116102","Leonel Surez Fajardo","M",20,181,68,"Cuba","CUB","2008 Summer",2008,"Summer","Beijing","Athletics","Athletics Men's Decathlon","Bronze"
"116102","Leonel Surez Fajardo","M",24,181,68,"Cuba","CUB","2012 Summer",2012,"Summer","London","Athletics","Athletics Men's Decathlon","Bronze"
